X,Y,Class
5.5,7.0,1
9.4,13.0,1
6.0,6.8,1
12.5,13.0,0
5.5,5.6,1
13.5,16.0,0
11.5,15.0,0
13.2,13.4,0
6.8,9.0,1
10.0,8.0,0
11.2,13.8,0
10.6,12.5,0
1.79,2.32,1
0.31,6.28,1
2.0,5.83,1
5.19,0.29,1
6.0,1.51,1
7.96,7.6,1
2.41,8.1,1
7.64,8.31,1
3.26,4.66,1
0.51,8.17,1
0.14,6.88,1
3.8,3.22,1
0.86,5.77,1
7.31,2.66,1
6.32,6.96,1
2.19,2.55,1
8.16,8.88,1
8.73,0.25,1
2.09,4.2,1
6.06,0.97,1
5.23,2.57,1
4.8,4.25,1
9.75,4.98,1
6.23,3.42,1
5.54,6.52,1
6.44,3.85,1
4.83,5.86,1
6.32,5.89,1
9.12,1.72,1
3.67,8.6,1
3.58,2.43,1
9.44,0.49,1
1.18,3.42,1
5.22,6.96,1
6.16,7.33,1
5.01,2.82,1
0.32,7.36,1
8.8,4.61,1
1.9,8.25,1
2.69,7.8,1
0.85,8.1,1
6.48,4.63,1
2.6,4.56,1
5.46,1.6,1
2.8,2.92,1
5.7,5.56,1
7.46,5.99,1
0.52,7.26,1
9.49,7.52,1
7.22,3.74,1
7.75,2.1,1
1.76,3.13,1
3.77,0.4,1
6.91,4.51,1
5.06,5.0,1
3.13,8.47,1
6.49,5.25,1
3.16,0.09,1
3.25,8.66,1
7.74,6.33,1
3.83,1.42,1
8.62,4.93,1
8.43,6.56,1
1.95,0.3,1
7.46,8.06,1
2.25,4.45,1
2.31,7.64,1
5.04,5.85,1
9.81,5.06,1
0.25,3.16,1
6.25,1.89,1
9.96,1.76,1
1.13,2.65,1
4.51,0.26,1
5.96,6.95,1
7.69,5.52,1
7.65,8.77,1
8.49,5.42,1
8.82,8.61,1
2.54,3.26,1
8.43,0.16,1
0.11,2.96,1
9.04,8.67,1
9.72,2.24,1
0.52,3.61,1
6.4,2.72,1
5.3,3.36,1
8.22,0.14,1
4.82,6.64,1
10.0,8.77,0
6.49,5.53,1
0.48,3.77,1
8.73,7.04,1
4.54,1.54,1
1.33,1.95,1
9.34,0.1,1
4.4,5.75,1
5.76,4.04,1
0.28,0.69,1
1.49,4.04,1
16.12,10.77,0
15.32,11.77,0
14.01,13.34,0
16.04,10.71,0
18.55,10.72,0
12.94,13.82,0
12.74,13.8,0
17.15,12.33,0
16.99,11.04,0
17.63,13.26,0
15.33,12.4,0
11.98,14.12,0
18.85,14.04,0
16.71,13.06,0
13.26,13.89,0
18.9,11.1,0
12.32,10.12,0
19.4,9.64,0
10.62,12.41,0
14.52,11.06,0
11.15,10.9,0
13.19,12.66,0
12.65,15.11,0
10.72,11.36,0
11.88,10.55,0
14.2,15.38,0
18.62,10.23,0
17.08,10.47,0
16.81,14.51,0
15.36,14.52,0
15.38,12.13,0
10.61,12.93,0
16.71,14.03,0
12.06,14.43,0
12.21,10.58,0
18.89,10.91,0
14.6,10.55,0
19.17,14.75,0
14.95,11.43,0
11.34,10.93,0
12.2,13.09,0
15.1,11.62,0
16.83,11.22,0
15.61,12.58,0
14.04,10.88,0
18.88,14.42,0
12.4,14.35,0
15.7,10.09,0
15.96,14.39,0
17.61,13.05,0
15.84,13.76,0
16.11,9.75,0
16.72,11.22,0
16.65,10.91,0
11.67,13.27,0
16.86,13.38,0
19.02,15.46,0
13.09,9.92,0
18.28,12.46,0
13.22,14.66,0
12.04,11.67,0
17.86,10.12,0
10.95,15.13,0
15.3,12.65,0
18.24,14.1,0
16.91,11.93,0
18.41,12.51,0
19.2,12.09,0
10.51,13.02,0
17.78,12.33,0
16.44,13.73,0
18.85,13.18,0
16.03,9.82,0
11.92,15.3,0
15.59,12.87,0
11.4,13.16,0
19.07,12.05,0
10.95,10.34,0
18.01,9.65,0
16.55,10.64,0
14.97,12.02,0
14.56,10.13,0
14.63,13.4,0
12.5,9.71,0
18.48,13.91,0
17.53,11.4,0
13.2,12.74,0
15.21,11.77,0
13.13,14.52,0
18.24,11.26,0
14.6,10.04,0
17.37,12.83,0
18.58,13.61,0
17.24,13.87,0
13.44,13.83,0
12.72,12.05,0
11.24,9.73,0
14.65,10.31,0
14.84,10.78,0
17.18,13.34,0
